[binsearch] Starting up...
[binsearch] Number of cores available: '4'
E = 100, T = 4, P = 0
Enviando info: 10 bytes enviados.
E,T,TIEMPO SERIAL,TIEMPO PARALELO
1,4,0.003075,0.000000
2,4,0.000463,0.000000
3,4,0.000511,0.000000
4,4,0.000838,0.000000
5,4,0.000519,0.000000
6,4,0.000465,0.000000
7,4,0.000487,0.000000
8,4,0.000482,0.000000
9,4,0.000447,0.000000
10,4,0.000488,0.000000
11,4,0.000495,0.000000
12,4,0.000800,0.000000
13,4,0.000652,0.000000
14,4,0.000459,0.000000
15,4,0.000462,0.000000
16,4,0.000451,0.000000
17,4,0.000450,0.000000
18,4,0.000554,0.000000
19,4,0.000719,0.000000
20,4,0.000491,0.000000
21,4,0.000494,0.000000
22,4,0.000750,0.000000
23,4,0.000551,0.000000
24,4,0.000472,0.000000
25,4,0.000471,0.000000
26,4,0.000668,0.000000
27,4,0.000521,0.000000
28,4,0.000473,0.000000
29,4,0.000454,0.000000
30,4,0.000461,0.000000
31,4,0.000505,0.000000
32,4,0.000569,0.000000
33,4,0.010720,0.000000
34,4,0.000660,0.000000
35,4,0.000658,0.000000
36,4,0.000794,0.000000
37,4,0.000580,0.000000
38,4,0.000451,0.000000
39,4,0.000480,0.000000
40,4,0.000609,0.000000
41,4,0.000678,0.000000
42,4,0.000652,0.000000
43,4,0.000763,0.000000
44,4,0.000527,0.000000
45,4,0.000451,0.000000
46,4,0.000478,0.000000
47,4,0.000440,0.000000
48,4,0.000441,0.000000
49,4,0.000442,0.000000
50,4,0.000582,0.000000
51,4,0.000516,0.000000
52,4,0.000558,0.000000
53,4,0.000524,0.000000
54,4,0.000552,0.000000
55,4,0.000533,0.000000
56,4,0.000476,0.000000
57,4,0.000505,0.000000
58,4,0.000478,0.000000
59,4,0.000598,0.000000
60,4,0.000457,0.000000
61,4,0.000509,0.000000
62,4,0.000477,0.000000
63,4,0.000497,0.000000
64,4,0.000452,0.000000
65,4,0.000489,0.000000
66,4,0.000470,0.000000
67,4,0.000652,0.000000
68,4,0.000552,0.000000
69,4,0.000605,0.000000
70,4,0.000525,0.000000
71,4,0.003781,0.000000
72,4,0.000589,0.000000
73,4,0.000496,0.000000
74,4,0.000481,0.000000
75,4,0.000532,0.000000
76,4,0.000456,0.000000
77,4,0.000477,0.000000
78,4,0.000463,0.000000
79,4,0.016218,0.000000
80,4,0.002492,0.000000
81,4,0.000590,0.000000
82,4,0.000614,0.000000
83,4,0.000632,0.000000
84,4,0.000692,0.000000
85,4,0.000723,0.000000
86,4,0.000788,0.000000
87,4,0.000713,0.000000
88,4,0.000541,0.000000
89,4,0.000581,0.000000
90,4,0.000487,0.000000
91,4,0.000483,0.000000
92,4,0.000545,0.000000
93,4,0.000583,0.000000
94,4,0.000475,0.000000
95,4,0.000460,0.000000
96,4,0.000568,0.000000
97,4,0.000568,0.000000
98,4,0.000496,0.000000
99,4,0.000471,0.000000
100,4,0.000511,0.000000
Time elapsed '37.518000' [ms].
[datagen] Beginning value generation.
[datagen] sorting values.
[datagen] post value generation and sorting.
[datagen] wrote OK response to socket.
[datagen] wrote '1000' bytes to socket. '9000' remaining bytes.
[datagen] wrote '1000' bytes to socket. '8000' remaining bytes.
[datagen] wrote '1000' bytes to socket. '7000' remaining bytes.
[datagen] wrote '1000' bytes to socket. '6000' remaining bytes.
[datagen] wrote '1000' bytes to socket. '5000' remaining bytes.
[datagen] wrote '1000' bytes to socket. '4000' remaining bytes.
[datagen] wrote '1000' bytes to socket. '3000' remaining bytes.
[datagen] wrote '1000' bytes to socket. '2000' remaining bytes.
[datagen] wrote '1000' bytes to socket. '1000' remaining bytes.
[datagen] wrote '1000' bytes to socket. '0' remaining bytes.
[datagen] Now exiting.
